id,pelayanan,makanan
1,58,7
2,54,1
3,98,2
4,52,4
5,11,4
6,59,10
7,61,8
8,30,10
9,45,1
10,36,9
11,10,5
12,38,7
13,80,3
14,31,8
15,78,5
16,82,6
17,70,3
18,3,9
19,42,3
20,49,10
21,48,2
22,79,9
23,18,4
24,100,9
25,61,10
26,4,2
27,59,8
28,44,3
29,11,8
30,7,6
31,74,9
32,42,3
33,33,8
34,93,4
35,4,1
36,32,6
37,31,4
38,10,1
39,52,7
40,7,6
41,33,2
42,94,10
43,34,3
44,63,2
45,3,8
46,38,1
47,21,3
48,64,4
49,19,1
50,42,5
51,48,10
52,94,3
53,21,6
54,64,10
55,50,7
56,49,3
57,24,3
58,31,1
59,28,4
60,79,6
61,42,4
62,31,7
63,78,7
64,35,2
65,3,8
66,4,9
67,27,4
68,59,5
69,86,10
70,78,8
71,39,3
72,26,6
73,22,10
74,54,4
75,61,1
76,45,5
77,11,10
78,20,1
79,87,9
80,39,10
81,4,10
82,13,4
83,69,8
84,11,2
85,18,4
86,30,5
87,56,4
88,18,9
89,48,2
90,10,1
91,98,3
92,83,3
93,40,8
94,20,3
95,63,8
96,30,1
97,25,3
98,27,10
99,8,6
100,11,8
